Date,Open,High,Low,Close,Adj Close,Volume
2013-12-31,1196.400024,1212.400024,1182.000000,1201.900024,1201.900024,124
2014-01-02,1204.300049,1227.300049,1204.300049,1225.000000,1225.000000,209
2014-01-03,1221.699951,1239.000000,1221.699951,1238.400024,1238.400024,142
2014-01-06,1232.800049,1247.000000,1221.900024,1237.800049,1237.800049,127
2014-01-07,1239.300049,1242.400024,1226.300049,1229.400024,1229.400024,73
2014-01-08,1227.500000,1227.500000,1218.599976,1225.300049,1225.300049,189
2014-01-09,1225.800049,1229.300049,1225.800049,1229.300049,1229.300049,7
2014-01-10,1235.000000,1246.800049,1234.000000,1246.699951,1246.699951,58
2014-01-13,1250.599976,1252.699951,1245.500000,1250.900024,1250.900024,46
2014-01-14,1251.000000,1251.300049,1242.000000,1245.199951,1245.199951,37
2014-01-15,1243.099976,1243.199951,1238.099976,1238.099976,1238.099976,68
2014-01-16,1239.300049,1242.800049,1239.000000,1240.000000,1240.000000,48
2014-01-17,1239.699951,1254.300049,1239.699951,1251.699951,1251.699951,101
2014-01-21,1256.400024,1257.500000,1240.000000,1242.300049,1242.300049,224
2014-01-22,1241.699951,1242.000000,1239.000000,1239.000000,1239.000000,58
2014-01-23,1235.199951,1264.199951,1235.199951,1262.599976,1262.599976,40
2014-01-24,1258.300049,1269.400024,1258.300049,1264.500000,1264.500000,38
2014-01-27,1259.800049,1264.400024,1254.400024,1263.599976,1263.599976,92
2014-01-28,1257.900024,1258.400024,1251.000000,1251.000000,1251.000000,20
2014-01-29,1262.199951,1262.199951,1262.199951,1262.199951,1262.199951,137028
2014-01-30,1267.000000,1267.699951,1237.500000,1242.199951,1242.199951,45276
2014-01-31,1243.599976,1254.500000,1238.400024,1240.099976,1240.099976,5820
2014-02-03,1242.400024,1266.300049,1241.199951,1260.400024,1260.400024,2914
2014-02-04,1258.400024,1260.699951,1247.800049,1251.699951,1251.699951,1745
2014-02-05,1254.000000,1273.699951,1253.099976,1257.300049,1257.300049,1616
2014-02-06,1258.000000,1267.000000,1253.500000,1257.599976,1257.599976,274
2014-02-07,1258.300049,1271.400024,1257.900024,1263.300049,1263.300049,436
2014-02-10,1269.599976,1277.300049,1265.699951,1274.800049,1274.800049,742
2014-02-11,1274.000000,1292.000000,1273.800049,1290.099976,1290.099976,562
2014-02-12,1290.500000,1296.199951,1285.500000,1295.300049,1295.300049,140
2014-02-13,1293.300049,1303.500000,1287.500000,1300.400024,1300.400024,877
2014-02-14,1301.699951,1320.699951,1301.699951,1319.000000,1319.000000,308
2014-02-18,1322.900024,1330.599976,1313.900024,1324.699951,1324.699951,373
2014-02-19,1318.300049,1321.599976,1309.099976,1320.599976,1320.599976,193
2014-02-20,1310.699951,1323.500000,1309.599976,1317.099976,1317.099976,116
2014-02-21,1320.000000,1328.300049,1317.400024,1323.900024,1323.900024,171
2014-02-24,1324.300049,1339.000000,1321.400024,1338.300049,1338.300049,93
2014-02-25,1336.400024,1343.900024,1333.099976,1343.000000,1343.000000,290
2014-02-26,1341.199951,1342.000000,1325.599976,1328.199951,1328.199951,485
2014-02-27,1329.300049,1335.000000,1324.599976,1331.599976,1331.599976,369
2014-02-28,1329.800049,1332.599976,1321.099976,1321.400024,1321.400024,239
2014-03-03,1335.900024,1354.099976,1332.900024,1350.099976,1350.099976,232
2014-03-04,1350.400024,1350.400024,1332.199951,1337.800049,1337.800049,80
2014-03-05,1334.800049,1341.000000,1334.800049,1340.199951,1340.199951,32
2014-03-06,1338.000000,1351.699951,1333.300049,1351.699951,1351.699951,59
2014-03-07,1349.500000,1352.699951,1329.199951,1338.099976,1338.099976,97
2014-03-10,1336.000000,1344.699951,1330.500000,1341.400024,1341.400024,97
2014-03-11,1340.000000,1352.400024,1338.099976,1346.500000,1346.500000,53
2014-03-12,1349.099976,1370.500000,1348.699951,1370.300049,1370.300049,58
2014-03-13,1366.800049,1374.500000,1366.500000,1372.199951,1372.199951,23
2014-03-14,1376.099976,1386.599976,1371.099976,1379.000000,1379.000000,91
2014-03-17,1386.099976,1391.400024,1372.199951,1372.900024,1372.900024,29
2014-03-18,1359.300049,1361.800049,1353.400024,1359.000000,1359.000000,35
2014-03-19,1357.099976,1358.000000,1332.699951,1341.400024,1341.400024,57
2014-03-20,1333.699951,1333.699951,1325.800049,1330.500000,1330.500000,72
2014-03-21,1339.099976,1339.099976,1335.800049,1336.000000,1336.000000,3
2014-03-24,1333.000000,1333.000000,1310.500000,1311.199951,1311.199951,103
2014-03-25,1315.500000,1315.500000,1307.500000,1311.400024,1311.400024,46
2014-03-26,1315.199951,1315.199951,1303.400024,1303.400024,1303.400024,4
2014-03-27,1294.699951,1294.699951,1294.699951,1294.699951,1294.699951,185016
2014-03-28,1292.199951,1299.400024,1285.900024,1293.800049,1293.800049,65486
2014-03-31,1294.300049,1298.800049,1282.400024,1283.400024,1283.400024,4121
2014-04-01,1285.099976,1287.900024,1277.300049,1279.599976,1279.599976,884
2014-04-02,1280.199951,1294.099976,1280.199951,1290.500000,1290.500000,1099
2014-04-03,1290.800049,1293.500000,1282.699951,1284.400024,1284.400024,775
2014-04-04,1285.500000,1306.099976,1284.400024,1303.199951,1303.199951,976
2014-04-07,1301.400024,1304.000000,1296.300049,1298.000000,1298.000000,361
2014-04-08,1296.599976,1314.099976,1296.599976,1308.699951,1308.699951,264
2014-04-09,1309.500000,1313.599976,1301.099976,1305.500000,1305.500000,191
2014-04-10,1311.800049,1323.800049,1311.199951,1320.099976,1320.099976,127
